age,monthly_charge,tenure_months,contract_type,has_internet,churn
22,79,2,Monthly,Yes,Yes
25,65,4,Monthly,Yes,Yes
29,45,18,One Year,Yes,No
31,55,24,One Year,Yes,No
35,89,3,Monthly,Yes,Yes
38,40,36,Two Year,No,No
41,70,8,Monthly,Yes,Yes
44,60,30,One Year,Yes,No
47,35,48,Two Year,No,No
50,75,5,Monthly,Yes,Yes
52,49,20,One Year,Yes,No
55,42,60,Two Year,No,No
27,85,1,Monthly,Yes,Yes
33,58,14,Monthly,Yes,No
36,62,10,Monthly,Yes,Yes
39,39,42,Two Year,No,No
43,68,16,One Year,Yes,No
46,82,6,Monthly,Yes,Yes
49,52,26,One Year,Yes,No
53,44,54,Two Year,No,No
24,72,3,Monthly,Yes,Yes
30,50,12,Monthly,Yes,No
34,77,7,Monthly,Yes,Yes
40,46,32,One Year,No,No
45,64,9,Monthly,Yes,Yes
48,48,28,One Year,Yes,No
51,38,50,Two Year,No,No
57,56,22,One Year,Yes,No
28,91,2,Monthly,Yes,Yes
37,54,15,Monthly,Yes,No
